@RELATION safe-tweets

@ATTRIBUTE hasUrl 	 NUMERIC 
@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Mentions 	 NUMERIC 
@ATTRIBUTE Emphasis 	 NUMERIC 
@ATTRIBUTE Retweet 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE class 	{Positive, Negative}

@DATA
HottestFap: #porn Sexy Hot Porn Pic RT if you think she is gorgeous http://t.co/Am2kgPbbD8,0,0,0,1,0,0,1,0
HottestFap: #porn Sexy Hot Porn Pic RT if you think she is hot http://t.co/nvSZGN4cpM,0,0,0,1,0,0,1,0
HottestFap: #nsfw Hot Porn Photo RT if you think she is hot http://t.co/xxYYoWyAx7,0,0,0,1,0,0,0,0
HottestFap: #naked Hot Porn Photo - so hot! http://t.co/U2Uxglx0eF,0,0,0,1,0,0,0,0
HottestFap: #sexy Sexy Hot Porn Pic - so hot! http://t.co/nYVIseISK8,0,0,0,1,0,0,0,0
HottestFap: #nude Sexy Hot Porn Pic RT if you think she is hot http://t.co/tnm79d7d8Y,0,0,0,1,0,0,0,0
HottestFap: #naked Sexy Hot Porn Pic RT if you think she is hot http://t.co/es3h5OzvWF,0,0,0,1,0,0,0,0
HottestFap: #sexy Hot Porn Photo - so hot! http://t.co/Ui2kV5wdiB,0,0,0,1,0,0,0,0
HottestFap: #nude Sexy Hot Porn Pic RT if you think she is gorgeous http://t.co/PCMopp9ppb,0,0,0,1,0,0,0,0
HottestFap: #nude Hot Porn Photo RT if she is worth it ;) http://t.co/1vHQi6eSjE,0,0,0,1,0,0,0,0
HottestFap: #nsfw Hot Porn Photo RT if she is worth it ;) http://t.co/HQYXBG4tJG,0,0,0,1,0,0,0,0
HottestFap: #nsfw Sexy Hot Porn Pic RT if she is worth it ;) http://t.co/sbWkgchHCX,0,0,0,1,0,0,0,0
HottestFap: #nsfw Hot Porn Photo - gorgeous http://t.co/uPFJPNm2la,0,0,0,1,0,0,0,0
HottestFap: #sexy Sexy Hot Porn Pic RT if you think she is gorgeous http://t.co/TILL4eUvsJ,0,0,0,1,0,0,0,0
HottestFap: #porn Sexy Hot Porn Pic RT if she is worth it ;) http://t.co/torBzLcloA,0,0,0,1,0,0,1,0
HottestFap: #naked Sexy Hot Porn Pic RT if you think she is hot http://t.co/l0dvPKkrJc,0,0,0,1,0,0,0,0
HottestFap: #sexy Hot Porn Photo RT if you think she is hot http://t.co/BIDxvdKTCo,0,0,0,1,0,0,0,0
HottestFap: #porn Hot Porn Photo RT if you think she is hot http://t.co/BDUiDuWJNw,0,0,0,1,0,0,1,0
: RT @Whoozley: This about sums it up for me: http://t.co/2eRBM0DL9N,0,0,1,1,1,0,0,0
: @icpcamritapuri Team SIGSEGV unable to login! Error message: http://t.co/5PUvGv16 (not even our id),1,0,1,2,0,0,0,0
: RT @bomanirani: Watching yuvi's mom smiling is a moment to cherish. Cricket is like the theatre of life!!,0,0,1,0,1,0,0,0
: @bedazzledknight :D Satyam... but overall, standard kuranju...,0,0,1,1,0,0,0,0
: @bedazzledknight You watch it :P I can give the links :D,0,0,1,0,0,0,0,0
: @bedazzledknight I watched too. Saw 2 episodes of #HIMYM. Its starting to get boring :-/ Nice twist at the end of 2nd episode though,0,0,1,1,0,0,0,0
: @bedazzledknight Castle? :P,0,0,1,0,0,0,0,0
: @bedazzledknight Ha! Im pretty sure of what's real and what's not. The voice in my head says its real :P,0,0,1,0,0,0,0,0
: @bedazzledknight I have to confess. They are real. I just told u to make u feel better.
